ID,MntWines,MntMeatProducts,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Education,Average Income binned
5524,635,546,8,10,4,Graduation,More average
2174,11,6,1,1,2,Graduation,Less average
4141,426,127,8,2,10,Graduation,More average
6182,11,20,2,0,4,Graduation,Less average
5324,173,118,5,3,6,PhD,More average
7446,520,98,6,4,10,Master,More average
965,235,164,7,3,7,Graduation,More average
6177,76,56,4,0,4,PhD,Less average
4855,14,24,3,0,2,PhD,Less average
5899,28,6,1,0,0,PhD,Low
1994,5,6,1,0,2,Graduation,More average
387,6,11,2,0,3,Basic,Low
2125,194,480,3,4,8,Graduation,More average
8180,233,53,6,1,5,Master,More average
2569,3,17,1,0,3,Graduation,Low
2114,1006,115,7,6,12,PhD,High
9736,53,19,3,0,3,Graduation,Less average
4939,84,38,4,1,6,Graduation,Less average
6565,1012,498,11,4,9,Master,High
2278,4,19,2,1,3,2n Cycle,Less average
9360,86,73,4,2,5,Graduation,Less average
5376,1,1725,0,28,0,Graduation,Low
1993,867,86,2,3,9,PhD,More average
4047,384,102,6,2,9,PhD,More average
1409,270,27,7,1,5,Graduation,Less average
7892,6,25,2,1,3,Graduation,Low
2404,173,30,5,1,4,Graduation,More average
5255,5,3,27,0,0,Graduation,More average
9422,36,42,2,1,4,Graduation,Less average
1966,684,801,6,9,10,PhD,High
6864,8,10,3,0,3,Master,Low
3033,112,44,2,5,3,Master,Less average
5710,110,5,2,1,4,Graduation,Less average
7373,96,96,4,1,6,PhD,Less average
8755,482,471,3,5,9,Master,More average
10738,40,19,2,0,3,Master,Less average
4339,702,151,5,6,12,PhD,More average
10755,6,14,3,1,2,2n Cycle,Low
8595,55,6,1,1,3,Graduation,Less average
2968,437,206,7,10,5,PhD,Less average
8601,421,536,8,6,5,Graduation,High
503,13,29,2,0,3,Master,Low
8430,9,6,0,0,3,Graduation,Low
7281,81,50,1,3,4,PhD,More average
2139,3,10,2,0,3,Master,Low
1371,123,266,2,4,9,Graduation,High
9909,3,14,3,1,3,2n Cycle,Low
7286,13,15,2,0,2,Graduation,Less average
7244,48,48,2,1,4,Graduation,More average
6566,826,317,5,2,12,PhD,More average
8614,245,125,4,2,10,Graduation,More average
4114,650,780,6,9,13,Master,High
1331,12,20,2,0,3,Graduation,Less average
2225,510,550,4,9,7,Graduation,High
9381,328,124,4,2,10,Graduation,More average
6260,984,432,3,10,13,Master,High
10383,295,482,5,5,10,Graduation,More average
7437,13,8,1,0,4,Graduation,Less average
8557,11,22,2,0,3,Graduation,More average
8375,447,28,8,2,6,PhD,More average
6853,712,538,3,6,11,Master,High
3076,452,102,4,2,12,Graduation,More average
1012,523,134,8,2,10,Graduation,More average
6518,546,48,7,3,8,PhD,More average
4137,398,367,7,4,4,Graduation,More average
8082,1,6,1,1,2,Graduation,Low
1386,10,1,1,0,2,Graduation,Less average
9369,688,309,11,10,10,2n Cycle,High
4477,247,159,5,2,10,Graduation,More average
1357,856,487,2,5,5,Graduation,High
1402,496,460,4,8,6,Master,More average
10629,25,43,3,0,3,2n Cycle,More average
6312,258,291,10,3,13,Graduation,More average
8132,565,65,9,2,8,PhD,More average
1050,14,13,2,1,4,Graduation,Less average
5846,2,6,1,0,2,Graduation,Less average
1859,721,925,7,6,5,Master,High
7503,1032,779,5,8,9,Graduation,High
10401,1,5,0,0,3,2n Cycle,Less average
1618,577,64,10,1,8,Graduation,More average
3332,64,68,3,1,4,Graduation,Less average
2261,4,5,1,0,2,Graduation,Less average
5346,25,19,3,0,3,2n Cycle,Low
4119,112,44,2,5,3,Master,Less average
535,163,424,3,10,13,Graduation,High
5268,17,14,1,0,4,Graduation,Less average
273,130,16,3,1,4,Master,Less average
4452,292,37,6,1,6,Graduation,More average
8504,350,568,5,6,7,Graduation,High
771,135,39,2,2,5,Graduation,More average
8996,230,192,7,2,8,PhD,More average
9235,7,8,1,0,2,Graduation,More average
5798,445,359,2,4,8,Master,More average
11178,15,10,1,0,3,Master,Less average
2230,27,14,3,1,3,PhD,Low
7516,5,11,2,0,3,Graduation,Less average
7247,505,26,7,4,6,Graduation,Less average
11100,51,7,2,0,3,Graduation,More average
4646,207,447,5,7,12,2n Cycle,High
3037,135,92,5,2,7,PhD,Less average
1473,53,5,2,0,3,2n Cycle,Less average
1016,41,6,2,0,3,PhD,Less average
4518,386,183,9,5,11,Graduation,High
9370,562,276,6,3,6,PhD,More average
8908,217,690,3,11,5,Graduation,High
8373,1,6,1,0,3,Basic,Low
7533,144,32,4,1,4,Graduation,Less average
2683,295,271,6,4,12,Graduation,More average
3629,76,31,3,1,3,Graduation,Less average
10991,454,106,5,4,4,Master,High
5077,425,292,6,6,11,Graduation,High
7431,1332,311,7,4,5,PhD,More average
3267,527,21,8,1,8,Master,More average
999,490,125,6,7,11,Graduation,High
9215,378,101,6,4,6,PhD,Less average
2286,64,21,2,1,3,Graduation,More average
1592,547,812,4,6,5,Graduation,High
367,47,94,9,1,5,2n Cycle,Less average
5234,12,25,1,1,3,2n Cycle,Less average
9862,1,7,2,0,3,Graduation,Low
9805,320,133,6,2,10,Master,More average
6205,34,29,2,1,3,Master,Less average
8442,9,7,1,0,3,Master,Low
7386,17,14,1,0,3,Graduation,Less average
1491,162,124,3,4,7,2n Cycle,More average
11071,450,951,3,6,6,Graduation,High
3381,70,16,2,0,4,Master,More average
8268,352,27,6,1,7,PhD,More average
11051,492,110,6,3,10,PhD,High
8026,120,73,5,4,5,Graduation,More average
433,534,47,11,1,6,Master,More average
9597,236,189,7,2,9,Graduation,More average
1295,231,196,6,5,7,Graduation,More average
5290,220,33,5,1,5,PhD,Less average
1685,796,590,4,5,13,PhD,More average
5342,0,3,1,0,3,Basic,Low
9579,53,34,2,2,2,PhD,Less average
7660,15,8,1,1,2,PhD,Less average
1461,17,12,2,0,3,PhD,Less average
821,962,921,5,4,12,Master,High
11084,738,232,3,5,7,Master,More average
8690,399,756,5,7,10,Graduation,High
2937,614,132,8,5,9,PhD,More average
9701,32,41,4,2,3,Graduation,Less average
9949,598,141,3,3,6,Graduation,More average
10837,2,18,2,0,3,Graduation,Low
3120,6,10,1,0,2,Graduation,Less average
5885,73,90,4,1,4,2n Cycle,Less average
4050,42,29,2,1,4,Master,Less average
3830,295,78,4,4,7,Master,More average
7987,346,48,8,1,6,Graduation,More average
7798,233,57,7,1,5,2n Cycle,Less average
92,5,24,3,0,4,Graduation,Less average
7055,888,57,8,5,11,PhD,More average
10240,997,269,10,4,6,Graduation,More average
3025,212,69,6,1,5,Graduation,Less average
9283,8,7,0,0,3,Graduation,More average
9970,42,57,1,1,6,Graduation,More average
2730,536,387,3,4,10,Graduation,High
2795,5,3,1,0,2,Master,Less average
9260,1349,249,10,6,9,PhD,More average
8182,53,49,3,0,4,Graduation,Low
10095,1001,240,5,4,10,PhD,More average
4370,18,32,2,0,4,Graduation,Less average
10573,125,98,6,7,4,Graduation,More average
3712,212,33,3,2,6,Graduation,More average
6637,277,305,3,4,7,Graduation,More average
3152,15,19,2,1,3,Graduation,Less average
5610,7,10,1,0,3,Graduation,Less average
6460,12,6,2,0,3,Graduation,Less average
1349,85,24,3,1,3,Graduation,More average
1880,81,6,2,1,3,PhD,More average
641,59,12,2,2,2,Graduation,More average
8717,1149,449,11,8,8,PhD,High
10314,847,119,9,10,5,PhD,High
10854,29,14,2,0,3,PhD,Less average
10492,2,5,0,0,3,Graduation,Less average
6935,207,447,5,7,12,2n Cycle,High
7698,152,22,4,1,4,PhD,More average
3559,12,10,2,1,3,2n Cycle,Low
10562,620,195,6,4,13,Master,More average
10796,47,6,1,1,3,Master,Less average
2563,1,7,2,0,3,Basic,Less average
3518,10,18,1,1,2,Graduation,Low
5823,35,2,1,0,4,PhD,Less average
3934,356,107,7,1,8,Graduation,More average
6982,783,537,4,10,9,Graduation,More average
6431,42,18,2,0,3,PhD,Less average
9733,1,10,1,1,2,Basic,Low
5602,466,432,8,7,12,PhD,More average
1324,23,21,3,0,3,Graduation,Less average
326,235,45,5,1,6,Graduation,More average
7224,10,10,1,1,2,Graduation,Less average
6999,656,106,7,3,12,Master,More average
9938,519,813,4,6,6,Graduation,High
6422,344,482,5,6,5,Graduation,High
3182,96,79,5,1,3,PhD,Less average
7300,448,34,8,1,7,Graduation,More average
10424,265,553,4,4,9,Graduation,High
8727,587,337,11,6,9,Graduation,More average
1030,22,13,1,0,3,PhD,Less average
624,6,1,0,1,2,Master,Low
5176,7,13,1,0,3,Graduation,Less average
5552,81,113,4,2,5,Master,Less average
868,54,7,2,0,3,Graduation,Less average
380,1170,320,11,4,9,Graduation,More average
2677,72,68,3,1,6,Graduation,Less average
6521,613,319,4,6,9,Graduation,High
6927,224,30,5,1,5,PhD,Less average
2877,410,59,7,1,8,Master,Less average
0,239,554,3,4,9,Graduation,More average
1584,171,171,8,1,5,Graduation,Less average
7264,12,4,1,0,2,2n Cycle,More average
6274,1076,417,8,10,6,Master,High
1377,182,33,4,1,5,Master,Less average
454,824,162,11,4,11,Graduation,More average
1755,30,25,1,1,4,2n Cycle,Less average
2075,377,540,3,5,7,Graduation,More average
4785,520,154,6,3,11,PhD,High
9076,155,25,4,1,4,PhD,Less average
7079,897,207,9,6,12,Graduation,More average
4653,131,16,3,1,4,Graduation,Less average
7375,297,79,8,2,4,Graduation,More average
709,787,204,2,2,11,Graduation,More average
460,792,740,3,5,8,PhD,High
3726,4,9,1,0,2,PhD,Less average
6798,231,137,5,1,8,Graduation,Less average
5341,983,184,6,3,4,2n Cycle,High
1606,3,8,1,0,2,Graduation,Less average
9617,0,5,1,0,3,Graduation,Low
3233,562,464,7,8,11,PhD,More average
89,5,20,2,0,4,2n Cycle,Low
2936,18,4,1,0,3,Master,Low
9449,415,124,5,2,11,PhD,High
7297,5,10,3,1,3,Graduation,Low
313,901,757,6,5,10,Graduation,More average
9940,382,276,6,4,4,Graduation,More average
10735,14,7,2,0,2,Graduation,Low
9529,559,503,3,9,9,Graduation,More average
6439,789,133,11,5,8,Graduation,More average
7411,11,5,1,0,3,PhD,Less average
2176,1218,272,5,3,6,Graduation,High
9265,925,179,9,4,6,Graduation,High
8867,864,768,4,10,5,PhD,More average
8932,960,183,9,6,6,Master,More average
10236,16,25,2,0,3,Master,Less average
6340,3,7,1,0,3,Graduation,Less average
2227,45,52,3,1,5,2n Cycle,Less average
10992,650,353,4,6,11,Graduation,High
5304,24,8,1,0,3,PhD,Less average
309,918,118,8,3,5,PhD,More average
3406,138,87,3,2,7,Graduation,Less average
2661,12,2,2,0,4,Graduation,Low
3153,11,4,1,0,2,PhD,Less average
10264,1,8,1,1,2,Graduation,Low
1184,554,215,10,2,10,PhD,More average
4200,167,62,4,1,6,Master,Less average
9396,9,6,1,0,2,PhD,Less average
2387,177,71,5,2,4,Master,Less average
6690,38,22,3,1,3,Master,Less average
1225,483,398,3,7,8,Graduation,High
9703,77,35,3,2,2,PhD,Less average
291,182,298,3,3,6,Graduation,More average
4557,10,19,2,2,2,Graduation,Low
2379,778,499,3,4,5,Graduation,More average
5726,16,23,3,0,4,Master,Less average
3066,167,43,4,2,4,PhD,More average
6336,13,14,2,0,4,Graduation,Less average
10967,33,40,2,0,4,Graduation,Less average
2304,625,99,6,3,12,PhD,More average
3445,216,224,7,4,10,Graduation,More average
7828,68,396,3,3,5,Master,High
3762,196,512,3,5,8,PhD,More average
4391,635,100,9,3,9,Master,More average
4669,4,9,3,0,4,Basic,Low
10144,297,79,8,2,4,Graduation,More average
8652,84,38,4,1,6,Graduation,Less average
1672,204,149,5,1,8,PhD,More average
8962,26,8,2,0,3,Master,Less average
9974,15,20,3,1,2,Graduation,Less average
10983,304,230,6,3,13,Graduation,High
8148,285,242,6,2,12,Master,More average
10102,395,565,5,11,5,Graduation,High
4697,248,81,7,1,5,Master,Less average
9262,20,5,1,0,3,2n Cycle,Less average
7254,39,56,3,1,3,Graduation,Less average
4543,777,573,2,7,9,Graduation,High
4927,8,22,3,0,3,Graduation,Low
10451,9,3,0,0,3,Graduation,Less average
2926,1241,80,3,6,11,Master,More average
2874,6,7,1,0,3,2n Cycle,Less average
9738,65,16,3,0,3,Master,Less average
7119,395,263,2,3,6,Graduation,More average
3924,801,80,8,3,12,PhD,More average
5827,36,12,3,1,3,Graduation,Less average
5596,513,154,9,2,9,2n Cycle,More average
10812,37,46,2,1,3,PhD,Less average
1717,80,93,5,1,4,Graduation,Less average
9491,14,21,3,1,3,Graduation,Low
9274,525,112,6,7,9,Master,High
6609,1,25,3,0,3,Graduation,Less average
6963,675,400,2,5,10,Graduation,High
4440,509,27,8,3,6,Master,More average
1379,154,46,4,2,4,Master,Less average
10032,3,14,3,1,3,Graduation,Low
2826,25,8,2,0,3,Graduation,Low
2437,861,461,6,5,12,Graduation,More average
6320,768,561,6,6,10,Master,More average
3050,185,28,3,1,6,Graduation,More average
231,24,7,2,0,3,Master,Less average
2392,44,21,3,0,3,Graduation,Less average
9478,91,128,4,3,6,Graduation,More average
113,11,7,1,0,3,Graduation,Less average
2863,738,172,2,3,10,Graduation,More average
1802,412,119,3,3,12,Graduation,More average
520,3,7,1,0,2,Graduation,Less average
8275,16,3,1,0,2,PhD,Less average
9750,731,353,10,3,5,PhD,More average
2607,424,118,8,2,8,Graduation,Less average
7214,792,275,4,8,5,Graduation,More average
5835,21,28,2,0,4,PhD,Low
3896,22,11,1,0,3,Graduation,Less average
10350,33,5,1,0,3,PhD,More average
7786,68,59,3,1,4,PhD,Less average
2861,9,6,1,0,2,Graduation,Low
663,40,15,1,1,3,PhD,Less average
10675,909,218,9,3,5,PhD,More average
2521,23,13,1,1,2,Master,Less average
9592,11,9,2,0,3,Graduation,Low
10151,317,247,4,5,12,Graduation,More average
7381,797,293,11,4,6,Graduation,High
4099,10,16,1,0,3,Graduation,Less average
9560,856,570,7,6,8,Graduation,High
10172,456,832,4,5,11,Graduation,More average
11191,37,38,2,1,4,Graduation,Less average
9707,1103,45,4,2,11,PhD,More average
6245,378,68,3,5,8,PhD,More average
8234,1,7,1,0,2,Basic,Less average
1411,204,204,2,9,4,Graduation,High
8553,30,9,1,0,3,Graduation,Less average
1826,189,379,4,4,6,Graduation,High
8842,15,12,2,0,3,Graduation,Less average
11030,9,3,1,0,2,Master,Less average
2579,495,255,6,7,9,Graduation,More average
175,656,455,8,4,8,Graduation,More average
9185,452,514,4,6,5,PhD,More average
11056,546,410,3,4,10,Graduation,More average
9365,1048,217,11,3,5,PhD,More average
6201,22,14,2,0,3,Graduation,Less average
2061,78,11,2,0,4,Graduation,More average
6184,561,785,3,3,8,PhD,More average
6142,629,177,5,3,5,Master,More average
4107,269,69,4,6,4,PhD,Less average
7274,736,818,4,7,10,Graduation,High
9336,512,83,6,2,10,PhD,More average
2958,19,10,2,1,4,Graduation,Less average
933,9,6,1,0,2,PhD,Less average
5837,247,160,6,3,6,Graduation,More average
10704,404,92,6,2,9,Graduation,More average
5125,333,815,4,10,11,Graduation,High
4432,2,20,2,0,3,Graduation,Less average
5955,833,549,4,3,8,Graduation,More average
2928,789,142,2,4,8,PhD,More average
5680,10,7,1,0,3,2n Cycle,Less average
10313,159,45,5,1,4,Graduation,Less average
2557,7,6,1,1,2,Master,Less average
1245,977,253,4,3,12,Graduation,More average
1519,38,22,3,0,3,PhD,Less average
10703,57,27,3,2,2,Master,Less average
1726,3,15,1,1,2,Graduation,Low
4459,10,14,1,0,3,Graduation,Less average
1729,1043,97,3,5,10,PhD,More average
1517,3,13,1,0,3,Graduation,Less average
2098,11,5,1,0,2,PhD,Less average
9543,3,5,0,0,3,Graduation,Low
6878,43,96,4,1,6,Graduation,Less average
3310,73,90,4,1,4,2n Cycle,Less average
2724,12,1,0,1,2,Master,Less average
948,4,7,1,2,2,Graduation,Low
6720,314,53,7,3,4,Master,Less average
6202,571,142,4,5,13,Graduation,More average
2066,70,11,2,1,3,Graduation,Less average
9799,866,151,2,2,12,PhD,High
8318,594,786,5,6,8,Graduation,High
5642,140,61,3,1,6,Master,More average
2669,375,335,5,4,6,Graduation,More average
455,102,63,4,1,4,PhD,More average
7683,554,113,5,3,12,Master,More average
3428,919,505,4,9,10,PhD,More average
7414,96,42,3,1,4,Graduation,Less average
6354,5,16,1,1,2,Graduation,Low
798,2,6,1,0,3,Graduation,Low
8213,6,9,2,2,3,2n Cycle,Low
2488,23,25,2,1,3,2n Cycle,Less average
9999,610,125,9,4,9,Graduation,High
7617,67,61,2,1,5,Graduation,Less average
615,65,74,5,1,4,Graduation,Less average
2552,416,26,6,3,6,PhD,More average
194,23,11,1,0,3,Graduation,Less average
3645,19,26,2,0,4,PhD,Less average
8890,155,80,5,1,5,PhD,More average
5049,14,24,3,0,2,PhD,Less average
9973,370,92,7,1,8,Graduation,More average
7301,4,11,3,0,3,2n Cycle,Low
10882,407,221,4,3,6,Graduation,More average
7030,1200,204,11,9,12,PhD,More average
7422,85,54,5,1,7,Graduation,Less average
3523,583,309,5,4,8,Graduation,High
7106,483,591,3,5,10,PhD,High
6504,2,9,2,1,3,2n Cycle,Low
5067,966,282,2,7,11,Graduation,High
4216,822,108,7,9,9,Graduation,High
8581,604,100,10,2,8,Master,Less average
5929,19,19,2,0,3,PhD,Less average
3129,5,11,2,0,3,Graduation,Less average
6528,2,2,1,0,2,Master,Low
1361,1076,103,3,4,8,Master,High
6932,1285,716,7,10,5,PhD,High
7284,10,7,1,0,2,Graduation,Less average
1340,551,792,6,7,13,Graduation,High
8746,800,297,2,5,10,Graduation,High
5987,2,11,1,0,4,2n Cycle,Low
3767,378,189,5,5,12,Graduation,More average
3725,1248,349,2,4,9,PhD,High
4324,235,235,8,1,7,Graduation,Less average
238,515,181,9,6,9,2n Cycle,More average
6694,438,400,8,3,13,Graduation,High
498,25,22,1,0,4,Graduation,Less average
9347,31,7,1,0,3,Master,More average
9699,357,271,6,2,12,Graduation,More average
10664,400,35,9,1,5,Master,More average
5455,99,15,2,1,4,PhD,Less average
456,1,5,2,0,3,2n Cycle,Low
5012,5,13,1,0,3,Graduation,Less average
7495,77,31,2,1,5,PhD,More average
5029,3,2,0,0,3,Graduation,Low
10642,10,14,1,0,3,Graduation,Less average
2106,0,3,1,0,3,2n Cycle,Low
10364,0,1,1,0,2,Graduation,Low
5954,76,74,5,0,4,Master,Less average
1137,398,537,4,5,7,Graduation,High
2541,14,11,2,0,3,Graduation,Low
1142,208,82,3,2,9,PhD,More average
2276,430,322,4,7,11,Graduation,More average
2807,656,161,8,9,7,Graduation,More average
6471,14,30,2,0,4,Master,Less average
6131,141,106,4,2,8,2n Cycle,More average
6233,507,364,9,5,10,Graduation,More average
4148,164,103,5,1,6,Graduation,Less average
4947,606,974,7,7,9,2n Cycle,High
3225,116,72,4,1,5,Master,Less average
7540,143,60,2,1,8,Graduation,More average
10648,398,447,5,7,6,2n Cycle,More average
1992,522,257,2,2,8,Graduation,More average
7851,161,253,3,7,11,Graduation,More average
8594,112,6,3,1,3,PhD,More average
7059,483,398,3,7,8,Graduation,High
2815,7,39,4,0,3,Graduation,Less average
2416,789,420,2,8,9,PhD,More average
7999,1239,413,5,6,5,PhD,High
9213,4,5,1,0,2,Graduation,Less average
9697,335,127,7,2,8,Graduation,More average
3916,639,166,7,3,12,PhD,Less average
2021,563,384,6,10,13,Graduation,More average
1581,2,8,1,0,2,Graduation,Less average
564,746,125,8,6,9,PhD,More average
6619,22,13,1,0,3,Graduation,Less average
9081,4,6,1,1,2,Graduation,Low
178,478,193,8,3,11,Graduation,More average
916,20,4,1,0,3,PhD,Less average
5512,451,39,7,1,8,Master,More average
8970,371,39,6,2,7,PhD,More average
10581,281,84,7,3,4,Graduation,Less average
5300,19,19,2,1,2,Master,Less average
5154,26,13,2,0,3,Master,Less average
8346,138,35,6,2,2,Graduation,Less average
1676,213,44,4,2,5,Graduation,Less average
9286,407,100,5,9,4,Master,High
2426,483,114,5,10,13,PhD,High
5172,738,232,3,5,7,Master,More average
5562,502,109,7,2,10,Graduation,More average
3436,11,5,1,0,3,Graduation,Low
3921,24,108,4,1,4,2n Cycle,Less average
3403,1170,594,2,5,12,PhD,High
22,185,88,6,1,5,Graduation,Less average
10965,983,389,3,5,13,Graduation,High
9426,691,69,2,6,3,Master,More average
6605,504,131,9,4,6,PhD,More average
3136,317,265,5,3,11,Master,More average
8737,29,9,2,0,3,Graduation,More average
11088,1396,322,4,9,4,PhD,High
716,529,356,6,7,11,PhD,More average
466,388,218,4,3,13,Graduation,More average
9135,13,21,1,1,2,Graduation,Less average
10623,28,4,1,0,3,Master,Less average
8151,16,21,4,1,3,Basic,Low
5140,1047,140,4,3,12,PhD,More average
10160,31,7,1,0,3,Master,More average
4945,815,239,10,4,12,Graduation,More average
10584,225,387,5,10,8,Graduation,More average
6071,493,324,3,7,11,Graduation,High
3386,34,66,2,1,4,Graduation,Less average
8939,382,65,5,2,12,Graduation,More average
9925,127,56,4,2,3,PhD,Less average
4320,325,300,6,4,12,Graduation,More average
5389,238,68,6,2,5,Graduation,Less average
6036,1168,408,5,6,7,Master,High
182,284,55,6,2,5,PhD,Less average
203,1288,613,5,7,9,Master,High
11025,65,46,3,1,3,Graduation,Less average
10203,11,9,1,0,3,Graduation,Less average
4607,227,389,4,5,7,Graduation,More average
3711,1035,670,6,3,10,Master,High
3696,27,12,2,0,3,Graduation,Less average
2532,982,351,2,4,6,Master,More average
9214,179,64,5,1,6,Graduation,Less average
4943,1379,216,2,4,9,Graduation,More average
35,32,64,2,2,3,Graduation,Low
2258,8,15,1,0,3,Graduation,Less average
4322,881,319,4,5,10,PhD,High
713,141,153,4,4,6,Master,More average
4702,1000,379,4,8,4,Graduation,More average
3281,206,67,4,1,8,PhD,Less average
702,162,83,4,3,8,2n Cycle,Less average
2004,619,260,4,7,5,Graduation,More average
4769,456,24,8,2,6,Master,More average
4437,112,92,3,2,5,Graduation,More average
8724,11,22,2,0,3,Graduation,Less average
10741,172,112,6,1,5,Master,Less average
1991,78,11,2,1,3,Graduation,Less average
6931,464,292,8,3,4,Graduation,High
11096,99,32,2,1,7,2n Cycle,More average
304,19,19,3,0,3,Master,Low
3665,1,8,3,0,3,2n Cycle,Low
10591,63,83,4,1,4,Graduation,Less average
5036,252,42,4,5,3,PhD,Less average
5547,1478,403,7,6,6,PhD,High
7822,198,252,4,6,8,Graduation,More average
8541,8,10,2,0,4,2n Cycle,Low
10955,416,925,3,6,4,Graduation,High
4368,42,43,3,0,4,Graduation,Less average
9671,14,21,3,1,2,Graduation,Low
2256,17,3,1,0,3,Master,Less average
4279,15,10,1,1,3,2n Cycle,Less average
5371,6,24,3,1,2,Graduation,Low
9240,458,24,6,2,8,PhD,More average
9460,30,47,3,2,2,Graduation,Low
9504,179,520,3,8,13,Master,High
8692,90,97,4,1,5,Graduation,Less average
448,308,137,6,2,11,PhD,More average
8314,557,761,5,6,7,Graduation,High
8420,7,13,2,0,4,2n Cycle,Low
3174,1492,287,5,10,4,Graduation,High
